idCliente;idRegiao;primeiroNome;nomeMeio;ultimoNome;dataNascimento;estadoCivil;sexo;email;endereco;telefone
11045;8;Leonard;G;Nara;1955-11-16;S;M;leonard18@adventure-works.com;7466 La Vista Ave.;1 (11) 500 555-0151
11046;6;Christine;NULL;Yuan;1955-09-19;M;F;christine4@adventure-works.com;2356 Orange St;1 (11) 500 555-0113
11047;34;Jaclyn;D;Lu;1955-08-27;M;F;jaclyn12@adventure-works.com;2812 Mazatlan;1 (11) 500 555-0137
11048;39;Jeremy;NULL;Powell;1956-05-21;M;M;jeremy26@adventure-works.com;1803 Potomac Dr.;1 (11) 500 555-0183
11049;307;Carol;C;Rai;1986-01-15;S;F;carol8@adventure-works.com;6064 Madrid;654-555-0180
11050;31;Alan;NULL;Zheng;1957-03-06;M;M;alan23@adventure-works.com;2741 Gainborough Dr.;1 (11) 500 555-0135
11051;21;Daniel;NULL;Johnson;1957-01-31;S;M;daniel18@adventure-works.com;8085 Sunnyvale Avenue;1 (11) 500 555-0155
11052;8;Heidi;NULL;Lopez;1957-02-03;S;F;heidi19@adventure-works.com;2514 Via Cordona;1 (11) 500 555-0168
11053;359;Ana;E;Price;1986-02-17;M;F;ana0@adventure-works.com;1660 Stonyhill Circle;859-555-0113
11054;34;Deanna;NULL;Munoz;1957-09-07;M;F;deanna33@adventure-works.com;5825 B Way;1 (11) 500 555-0192
11055;22;Gilbert;NULL;Raje;1957-09-02;M;M;gilbert35@adventure-works.com;8811 The Trees Dr.;1 (11) 500 555-0129
11056;10;Michele;L;Nath;1958-10-01;M;F;michele19@adventure-works.com;5464 Janin Pl.;1 (11) 500 555-0178
11057;5;Carl;J;Andersen;1970-04-07;M;M;carl12@adventure-works.com;6930 Lake Nadine Place;1 (11) 500 555-0181
11058;29;Marc;NULL;Diaz;1965-04-23;M;M;marc6@adventure-works.com;6645 Sinaloa;1 (11) 500 555-0149
11059;27;Ashlee;J;Andersen;1959-09-29;S;F;ashlee19@adventure-works.com;8255 Highland Road;1 (11) 500 555-0112
11060;40;Jon;L;Zhou;1959-09-14;M;M;jon28@adventure-works.com;6574 Hemlock Ave.;1 (11) 500 555-0174
11061;23;Todd;M;Gao;1976-02-20;M;M;todd14@adventure-works.com;8808 Geneva Ave;1 (11) 500 555-0191
11062;547;Noah;D;Powell;1981-03-01;M;M;noah5@adventure-works.com;9794 Marion Ct;767-555-0113
11063;634;Angela;NULL;Murphy;1980-10-04;S;F;angela41@adventure-works.com;4927 Virgil Street;451-555-0162
11064;315;Chase;NULL;Reed;1981-06-05;M;M;chase21@adventure-works.com;2721 Alexander Pl.;892-555-0184
11065;331;Jessica;NULL;Henderson;1979-04-08;M;F;jessica29@adventure-works.com;9343 Ironwood Way;278-555-0186
11066;543;Grace;T;Butler;1979-05-27;M;F;grace62@adventure-works.com;4739 Garden Ave.;712-555-0141
11067;632;Caleb;F;Carter;1982-03-25;S;M;caleb40@adventure-works.com;9563 Pennsylvania Blvd.;944-555-0167
11068;40;Tiffany;NULL;Liang;1966-09-19;S;F;tiffany17@adventure-works.com;3608 Sinclair Avenue;1 (11) 500 555-0177
11069;23;Carolyn;NULL;Navarro;1966-09-17;S;F;carolyn30@adventure-works.com;4606 Springwood Court;1 (11) 500 555-0145
11070;39;Willie;T;Raji;1960-10-02;M;M;willie40@adventure-works.com;6260 Vernal Drive;1 (11) 500 555-0151
11071;24;Linda;NULL;Serrano;1960-12-23;S;F;linda31@adventure-works.com;9808 Shaw Rd.;1 (11) 500 555-0130
11072;17;Casey;NULL;Luo;1960-08-05;S;F;casey6@adventure-works.com;9513 Roslyn Drive;1 (11) 500 555-0125
11073;16;Amy;NULL;Ye;1962-02-11;S;F;amy16@adventure-works.com;2262 Kirkwood Ct.;1 (11) 500 555-0185
11074;28;Levi;A;Arun;1962-02-25;S;M;levi6@adventure-works.com;4661 Bluetail;1 (11) 500 555-0127
11075;32;Felicia;L;Jimenez;1963-05-16;S;F;felicia4@adventure-works.com;786 Eastgate Ave;1 (11) 500 555-0165
11076;19;Blake;NULL;Anderson;1963-01-10;S;M;blake9@adventure-works.com;5436 Clear;1 (11) 500 555-0113
11077;36;Leah;NULL;Ye;1963-03-19;S;F;leah7@adventure-works.com;1291 Arguello Blvd.;1 (11) 500 555-0154
11078;49;Gina;E;Martin;1985-01-06;S;F;gina1@adventure-works.com;1349 Sol St.;196-555-0114
11079;34;Donald;NULL;Gonzalez;1970-03-07;S;M;donald20@adventure-works.com;4236 Malibu Place;1 (11) 500 555-0137
11080;30;Damien;NULL;Chander;1965-01-13;M;M;damien32@adventure-works.com;9941 Stonehedge Dr.;1 (11) 500 555-0111
11081;311;Savannah;C;Baker;1972-01-21;M;F;savannah39@adventure-works.com;1210 Trafalgar Circle;478-555-0117
11082;322;Angela;L;Butler;1972-02-01;S;F;angela17@adventure-works.com;6040 Listing Ct;579-555-0195
11083;336;Alyssa;F;Cox;1977-03-11;M;F;alyssa37@adventure-works.com;867 La Orinda Place;561-555-0140
11084;543;Lucas;NULL;Phillips;1963-03-12;S;M;lucas7@adventure-works.com;8668 St. Celestine Court;863-555-0172
11085;345;Emily;NULL;Johnson;1963-01-16;S;F;emily1@adventure-works.com;7926 Stephanie Way;850-555-0184
11086;369;Ryan;NULL;Brown;1963-06-22;M;M;ryan43@adventure-works.com;2939 Wesley Ct.;539-555-0198
11087;307;Tamara;L;Liang;1963-04-02;M;F;tamara6@adventure-works.com;3791 Rossmor Parkway;178-555-0152
11088;359;Hunter;NULL;Davis;1963-05-25;M;M;hunter64@adventure-works.com;4308 Sand Pointe Lane;612-555-0141
11089;337;Abigail;M;Price;1962-08-05;S;F;abigail25@adventure-works.com;2685 Blackburn Ct;532-555-0117
11090;338;Trevor;NULL;Bryant;1968-12-13;S;M;trevor18@adventure-works.com;5781 Sharon Dr.;853-555-0174
11091;50;Dalton;NULL;Perez;1962-10-02;M;M;dalton37@adventure-works.com;6083 San Jose;559-555-0115
11092;22;Cheryl;A;Diaz;1972-11-02;M;F;cheryl4@adventure-works.com;7297 Kaywood Drive;1 (11) 500 555-0192
11093;19;Aimee;A;He;1978-09-06;M;F;aimee13@adventure-works.com;1833 Olympic Drive;1 (11) 500 555-0161
11094;33;Cedric;W;Ma;1967-09-29;S;M;cedric15@adventure-works.com;3407 Oak Brook Place;1 (11) 500 555-0115
11095;13;Chad;NULL;Kumar;1968-02-29;S;M;chad9@adventure-works.com;1681 Lighthouse Way;1 (11) 500 555-0151
11096;12;Andrés;NULL;Anand;1968-02-07;M;M;andrés18@adventure-works.com;5423 Los Gatos Ct.;1 (11) 500 555-0184
11097;40;Edwin;R;Nara;1972-10-23;M;M;edwin39@adventure-works.com;719 William Way;1 (11) 500 555-0112
11098;14;Mallory;S;Rubio;1966-10-29;S;F;mallory7@adventure-works.com;6452 Harris Circle;1 (11) 500 555-0157
11099;13;Adam;NULL;Ross;1966-09-05;M;M;adam2@adventure-works.com;4378 Westminster Place;1 (11) 500 555-0186
11100;28;Latasha;L;Navarro;1966-03-15;S;F;latasha10@adventure-works.com;6954 Ranch Road;1 (11) 500 555-0123
11101;33;Abby;L;Sai;1970-11-05;S;F;abby4@adventure-works.com;7074 N. Spoonwood Court;1 (11) 500 555-0174
11102;18;Julia;L;Nelson;1970-10-19;S;F;julia7@adventure-works.com;2196 Coat Ct.;1 (11) 500 555-0124
11103;3;Cassie;NULL;Chande;1981-04-12;S;F;cassie13@adventure-works.com;9448 San Marino Ct.;1 (11) 500 555-0166
11104;23;Edgar;A;Sara;1975-03-08;M;M;edgar11@adventure-works.com;6127 Lilly Lane;1 (11) 500 555-0125
11105;8;Candace;NULL;Fernandez;1970-06-27;S;F;candace15@adventure-works.com;5029 Blue Ridge;1 (11) 500 555-0162
11106;40;Jessie;NULL;Liu;1970-03-11;S;M;jessie9@adventure-works.com;3063 Blue Jay Drive;1 (11) 500 555-0163
11107;17;Bianca;NULL;Lin;1976-03-04;M;F;bianca7@adventure-works.com;7530 Eola;1 (11) 500 555-0121
11108;13;Kari;C;Alvarez;1969-01-10;S;F;kari25@adventure-works.com;9178 Thornhill Place;1 (11) 500 555-0169
11109;38;Ruben;D;Kapoor;1980-04-30;S;M;ruben1@adventure-works.com;1984 Glendale Circle;1 (11) 500 555-0132
11110;3;Curtis;NULL;Yang;1967-12-04;M;M;curtis5@adventure-works.com;4052 Mt. Wilson Way;1 (11) 500 555-0127
11111;34;Meredith;T;Gutierrez;1967-08-23;M;F;meredith34@adventure-works.com;7610 Northridge Ct.;1 (11) 500 555-0179
11112;25;Crystal;C;Wang;1968-03-08;M;F;crystal3@adventure-works.com;2773 Kirkwood Dr;1 (11) 500 555-0134
11113;30;Micheal;A;Blanco;1973-02-17;M;M;micheal11@adventure-works.com;596 Marfargoa Drive;1 (11) 500 555-0131
11114;14;Leslie;C;Moreno;1967-11-25;S;F;leslie7@adventure-works.com;7941 Cristobal;1 (11) 500 555-0115
11115;17;Alvin;D;Cai;1967-08-12;M;M;alvin20@adventure-works.com;7759 Azalea Avenue;1 (11) 500 555-0191
11116;18;Clinton;E;Carlson;1979-04-02;M;M;clinton14@adventure-works.com;7943 Cunha Ct.;1 (11) 500 555-0184
11117;8;April;NULL;Deng;1966-08-21;M;F;april1@adventure-works.com;485 Ash Lane;1 (11) 500 555-0182
11118;6;Alvin;M;Zeng;1962-12-31;S;M;alvin21@adventure-works.com;3853 Wildcat Circle;1 (11) 500 555-0174
11119;13;Evan;V;James;1940-10-07;S;M;evan8@adventure-works.com;4157 Sierra Ridge;1 (11) 500 555-0187
11120;18;Beth;H;Jiménez;1942-02-06;S;F;beth8@adventure-works.com;7401 Las Palmas;1 (11) 500 555-0164
11121;10;Orlando;NULL;Suarez;1966-05-18;M;M;orlando19@adventure-works.com;7743 Hames Dr;1 (11) 500 555-0198
11122;12;Byron;NULL;Vazquez;1965-09-30;M;M;byron9@adventure-works.com;3187 Hackamore Lane;1 (11) 500 555-0136
11123;39;Philip;A;Alvarez;1965-12-18;M;M;philip4@adventure-works.com;2775 Mt. Olivet Pl.;1 (11) 500 555-0191
11124;40;Ross;F;Jordan;1968-07-23;S;M;ross1@adventure-works.com;6973 Dublin Court;1 (11) 500 555-0126
11125;37;Dana;J;Navarro;1961-10-06;S;F;dana2@adventure-works.com;8481 Zartop Street;1 (11) 500 555-0172
11126;11;Shaun;NULL;Carson;1954-10-05;M;M;shaun16@adventure-works.com;57 Wolf Way;1 (11) 500 555-0155
11127;361;Jan;NULL;Edwards;1981-04-19;M;F;jan11@adventure-works.com;9409 The Alameda;111-555-0118
11128;635;Samantha;NULL;Long;1981-06-03;M;F;samantha35@adventure-works.com;1606 Alderwood Lane;175-555-0139
11129;638;Julia;M;Wright;1981-02-01;S;F;julia17@adventure-works.com;7397 Central Blvd.;456-555-0174
11130;543;Caroline;L;Russell;1985-07-05;M;F;caroline21@adventure-works.com;3884 Bates Court;424-555-0137
11131;50;Amanda;NULL;Rivera;1985-09-09;M;F;amanda7@adventure-works.com;9573 Royal Oak Rd.;918-555-0126
11132;51;Melissa;E;Richardson;1986-04-25;S;F;melissa31@adventure-works.com;6832 Fruitwood Dr;928-555-0118
11133;542;Angela;NULL;Griffin;1986-03-08;S;F;angela23@adventure-works.com;3828 Baltic Sea Ct;598-555-0174
11134;30;Larry;D;Townsend;1957-02-22;S;M;larry14@adventure-works.com;7034 Carson;1 (11) 500 555-0130
11135;302;Marcus;L;Harris;1985-05-02;S;M;marcus14@adventure-works.com;9068 Quiet Place Drive;442-555-0119
11136;53;Brianna;D;Morgan;1984-04-24;S;F;brianna30@adventure-works.com;9005 Eagle Ct.;954-555-0117
11137;641;Jasmine;A;Taylor;1984-01-17;M;F;jasmine7@adventure-works.com;2457 Matterhorn Court;557-555-0146
11138;325;Lauren;NULL;Davis;1984-03-14;M;F;lauren23@adventure-works.com;8105 Pembrook Court;832-555-0121
11139;28;Tanya;NULL;Moreno;1949-11-05;S;F;tanya2@adventure-works.com;6155 Wilbur Drive;1 (11) 500 555-0185
11140;301;Javier;L;Alvarez;1982-08-11;S;M;javier1@adventure-works.com;8935 Etcheverry Dr.;763-555-0134
11141;314;Nicole;NULL;Ramirez;1982-12-19;M;F;nicole42@adventure-works.com;1101 C Street;152-555-0162
11142;51;Eduardo;NULL;Patterson;1983-02-11;S;M;eduardo55@adventure-works.com;6255 Macalvey Dr.;190-555-0184
11143;334;Jonathan;M;Henderson;1982-08-04;M;M;jonathan4@adventure-works.com;165 East Lane Road;149-555-0113
11144;607;Edward;NULL;Hernandez;1985-03-08;S;M;edward48@adventure-works.com;7607 Pine Hollow Road;178-555-0196
11145;536;Jasmine;L;Coleman;1985-06-06;S;F;jasmine46@adventure-works.com;1961 Oak Grove Road;857-555-0115
11146;8;Karla;L;Goel;1945-02-22;S;F;karla20@adventure-works.com;3272 Corrie Lane;1 (11) 500 555-0137
11147;40;Ernest;L;Wu;1944-08-04;M;M;ernest6@adventure-works.com;1832 RiverRock Dr;1 (11) 500 555-0139
11148;22;Ross;NULL;Vazquez;1947-02-13;M;M;ross32@adventure-works.com;1201 Paso Del Rio Way;1 (11) 500 555-0163
11149;25;Theodore;NULL;Gill;1946-10-18;M;M;theodore14@adventure-works.com;9120 Pinewood Court;1 (11) 500 555-0194
11150;39;Russell;M;Shen;1946-09-12;S;M;russell6@adventure-works.com;4755 Easley Drive;1 (11) 500 555-0191
11151;18;Melinda;G;Gill;1947-08-25;S;F;melinda9@adventure-works.com;805 Rainier Dr.;1 (11) 500 555-0117
11152;633;James;J;Williams;1981-07-09;S;M;james77@adventure-works.com;6827 Seagull Court;355-555-0153
11153;635;Angela;R;James;1981-12-21;M;F;angela34@adventure-works.com;8877 Weatherly Drive;847-555-0111
11154;553;Megan;G;Walker;1982-02-18;S;F;megan25@adventure-works.com;6898 Holiday Hills;918-555-0186
11155;301;Hunter;J;Robinson;1981-07-25;S;M;hunter50@adventure-works.com;8356 Mori Court;891-555-0125
11156;334;Maria;NULL;Roberts;1981-08-06;S;F;maria47@adventure-works.com;9452 Mariposa Ct.;158-555-0199
11157;642;Hannah;E;Long;1980-12-08;M;F;hannah32@adventure-works.com;1832 Preston Ct.;974-555-0177
11158;361;Jason;K;Wright;1981-04-06;S;M;jason46@adventure-works.com;6771 Bundros Court;694-555-0176
11159;385;Brianna;A;Hughes;1981-03-16;S;F;brianna57@adventure-works.com;6793 Bonifacio St.;319-555-0183
11160;311;Maurice;M;Tang;1979-07-08;S;M;maurice4@adventure-works.com;2886 Chaparral Court;947-555-0172
11161;311;Emily;NULL;Wood;1979-10-20;S;F;emily27@adventure-works.com;1562 Black Walnut;184-555-0114
11162;331;Chase;NULL;Cox;1979-09-02;S;M;chase10@adventure-works.com;P.O. Box 8070;764-555-0116
11163;372;Gabriel;NULL;Wang;1980-06-18;M;M;gabriel21@adventure-works.com;8002 Crane Court;617-555-0150
11164;374;Devin;NULL;Brooks;1979-11-02;S;M;devin63@adventure-works.com;4231 Highland Dr.;502-555-0138
11165;348;Jocelyn;NULL;Alexander;1979-01-15;M;F;jocelyn18@adventure-works.com;3376 Bank Way;354-555-0134
11166;631;Ashley;NULL;Martinez;1977-10-22;S;F;ashley18@adventure-works.com;6993 Whyte Park Ave.;131-555-0194
11167;618;Jasmine;J;Barnes;1978-01-29;S;F;jasmine43@adventure-works.com;9183 Via Del Sol;178-555-0156
11168;348;David;NULL;Rodriguez;1973-11-12;S;M;david83@adventure-works.com;38 Shangri-la Rd.;730-555-0128
11169;312;Bryce;NULL;Richardson;1973-12-20;M;M;bryce8@adventure-works.com;1841 Blackwood Drive;178-555-0176
11170;612;Carol;T;Howard;1973-08-04;M;F;carol5@adventure-works.com;6281 Edward Ave;845-555-0127
11171;385;Jonathan;E;Hill;1978-10-05;S;M;jonathan43@adventure-works.com;3731 Chinquapin Ct;134-555-0196
11172;626;Gabrielle;J;Adams;1973-05-20;M;F;gabrielle58@adventure-works.com;5621 Arcadia Pl.;403-555-0152
11173;552;Sarah;F;Thomas;1973-02-28;S;F;sarah13@adventure-works.com;5636 Mt. Whitney Dr.;868-555-0188
11174;338;Nicholas;NULL;Robinson;1973-01-09;M;M;nicholas19@adventure-works.com;1318 Lasalle Street;949-555-0138
11175;300;Luis;NULL;Wang;1968-09-01;S;M;luis24@adventure-works.com;6943 Patterson Blvd.;418-555-0127
11176;50;Mason;D;Roberts;1979-01-21;M;M;mason25@adventure-works.com;5753 Megan Dr.;539-555-0162
11177;359;Jose;M;Flores;1948-01-01;M;M;jose6@adventure-works.com;3991 Rambling Rose Drive;157-555-0182
11178;334;Nathan;J;Johnson;1954-08-20;M;M;nathan55@adventure-works.com;8927 Daylight Place;117-555-0182
11179;300;Molly;E;Rodriguez;1959-12-08;M;F;molly18@adventure-works.com;5556 Riverland Dr.;135-555-0185
11180;307;April;NULL;Anand;1948-07-01;M;F;april18@adventure-works.com;3531 Brookview Drive;702-555-0144
11181;338;Devin;P;Martin;1960-02-01;M;M;devin13@adventure-works.com;1085 Greenbelt Way;735-555-0197
11182;638;Stephanie;NULL;Torres;1950-02-22;S;F;stephanie19@adventure-works.com;6968 Mildred Ln.;567-555-0176
11183;368;Jasmine;W;Lee;1950-01-12;S;F;jasmine19@adventure-works.com;7502 Contuti Avenue;147-555-0199
11184;311;Meghan;NULL;Hernandez;1955-11-13;S;F;meghan3@adventure-works.com;5872 L St.;967-555-0188
11185;53;Ashley;NULL;Henderson;1950-04-07;S;F;ashley31@adventure-works.com;8834 San Jose Ave.;173-555-0121
11186;352;Sarah;C;Price;1949-11-18;S;F;sarah25@adventure-works.com;4815 Paraiso Ct.;180-555-0133
11187;612;Jennifer;S;Cooper;1949-08-21;M;F;jennifer63@adventure-works.com;2429 Longview Road;857-555-0111
11188;361;Catherine;NULL;Morris;1950-03-06;M;F;catherine16@adventure-works.com;6542 Stonewood Drive;795-555-0117
11189;609;Lawrence;W;Blanco;1950-01-12;S;M;lawrence14@adventure-works.com;7502 Contuti Avenue;656-555-0171
11190;300;Carson;NULL;Bryant;1949-12-20;M;M;carson17@adventure-works.com;2995 Youngsdale Dr.;240-555-0142
11191;310;Kristi;E;Perez;1951-06-17;S;F;kristi39@adventure-works.com;1769 Lislin Ct;123-555-0181
11192;637;James;C;Brown;1951-03-13;M;M;james79@adventure-works.com;673 Old Mountain View Dr.;725-555-0117
11193;553;Ian;A;Gray;1950-08-13;M;M;ian72@adventure-works.com;5941 Gill Dr.;596-555-0190
11194;352;Jacqueline;R;Price;1950-12-08;M;F;jacqueline0@adventure-works.com;872 Mark Twain Dr;266-555-0112
11195;635;Megan;NULL;Henderson;1951-08-10;M;F;megan55@adventure-works.com;8411 Mt. Olivet Place;560-555-0150
11196;536;Alfredo;NULL;Romero;1951-12-05;M;M;alfredo10@adventure-works.com;2499 Greendell Pl;342-555-0110
11197;637;Andrea;NULL;Morris;1951-12-16;M;F;andrea18@adventure-works.com;1883 Green View Court;715-555-0178
11198;368;Brooke;NULL;Sanders;1952-05-25;S;F;brooke3@adventure-works.com;5192 Dumbarton Drive;215-555-0156
11199;302;Jacqueline;NULL;Bennett;1957-11-02;M;F;jacqueline1@adventure-works.com;8948 Chinquapin Court;413-555-0174
11200;69;Jason;L;Griffin;1953-05-21;M;M;jason18@adventure-works.com;7239 Nicholas Drive;232-555-0160
11201;369;Amanda;NULL;Foster;1953-02-14;M;F;amanda37@adventure-works.com;3984 San Francisco;505-555-0159
11202;334;Alexia;L;Price;1958-08-22;M;F;alexia0@adventure-works.com;2079 Wellington Ct;552-555-0118
11203;60;Luis;D;Diaz;1959-08-18;M;M;luis21@adventure-works.com;3682 Diablo View Road;171-555-0126
11204;536;Destiny;C;Rivera;1953-11-29;M;F;destiny33@adventure-works.com;6965 Appalachian Drive;743-555-0111
11205;612;Abby;NULL;Fernandez;1954-01-21;M;F;abby13@adventure-works.com;8330 Glenside Court;134-555-0119
11206;626;Blake;NULL;Flores;1954-03-24;M;M;blake60@adventure-works.com;9410 Ferry St.;975-555-0163
11207;635;Danielle;NULL;Cox;1954-01-16;S;F;danielle12@adventure-works.com;2346 Wren Ave;396-555-0158
11208;325;Maria;NULL;Reed;1953-08-03;M;F;maria4@adventure-works.com;1413 Bridgeview St;156-555-0163
11209;336;Allison;NULL;Evans;1953-07-12;M;F;allison21@adventure-works.com;3515 Sutton Circle;988-555-0151
11210;383;Edward;J;Wood;1953-12-06;M;M;edward50@adventure-works.com;1039 Adelaide St.;229-555-0114
11211;50;Samantha;NULL;Russell;1960-10-08;M;F;samantha42@adventure-works.com;9256 Village Oaks Dr.;547-555-0121
11212;53;Chloe;NULL;Campbell;1955-05-05;M;F;chloe4@adventure-works.com;3562 East Ave.;205-555-0169
11213;614;Stephanie;B;Murphy;1954-11-11;S;F;stephanie11@adventure-works.com;5514 Grant Street;293-555-0151
11214;545;Charles;O;Miller;1955-05-07;S;M;charles9@adventure-works.com;2719 Little Dr;389-555-0115
11215;62;Ana;NULL;Perry;1961-06-17;M;F;ana7@adventure-works.com;3114 Arlington Way;446-555-0134
11216;547;Jasmine;A;Torres;1955-11-17;S;F;jasmine32@adventure-works.com;8328 San Francisco;939-555-0130
11217;547;Natalie;P;Adams;1955-08-11;S;F;natalie58@adventure-works.com;6592 Bent Tree Lane;300-555-0150
11218;642;Olivia;NULL;Brown;1961-09-07;S;F;olivia4@adventure-works.com;3964 Stony Hill Circle;414-555-0147
11219;553;Charles;NULL;Cook;1956-05-31;M;M;charles69@adventure-works.com;6871 Bel Air Dr.;755-555-0111
11220;310;Erica;C;Huang;1961-02-19;M;F;erica5@adventure-works.com;9142 All Ways Drive;618-555-0157
11221;334;Nathan;NULL;Perry;1955-12-08;M;M;nathan3@adventure-works.com;9714 Nicholas Drive;271-555-0191
11222;369;Alexandra;NULL;Rivera;1956-02-14;M;F;alexandra11@adventure-works.com;4999 Corte Segunda;488-555-0143
11223;52;Hailey;I;Patterson;1957-03-15;S;F;hailey30@adventure-works.com;5045 Vancouver Way;480-555-0126
